,district,date,month,year,visitors
317,Vikarabad,01-06-2016,June,2016, 
318,Vikarabad,01-07-2016,July,2016, 
319,Vikarabad,01-08-2016,August,2016, 
320,Vikarabad,01-09-2016,September,2016, 
321,Vikarabad,01-10-2016,October,2016, 
322,Vikarabad,01-11-2016,November,2016, 
323,Vikarabad,01-12-2016,December,2016, 
324,Wanaparthy ,01-01-2016,January,2016, 
325,Wanaparthy ,01-02-2016,February,2016, 
326,Wanaparthy ,01-03-2016,March,2016, 
327,Wanaparthy ,01-04-2016,April,2016, 
328,Wanaparthy ,01-05-2016,May,2016, 
329,Wanaparthy ,01-06-2016,June,2016, 
330,Wanaparthy ,01-07-2016,July,2016, 
331,Wanaparthy ,01-08-2016,August,2016, 
332,Wanaparthy ,01-09-2016,September,2016, 
333,Wanaparthy ,01-10-2016,October,2016,21234
334,Wanaparthy ,01-11-2016,November,2016,18348
335,Wanaparthy ,01-12-2016,December,2016,20556
336,Warangal (Rural),01-01-2016,January,2016, 
337,Warangal (Rural),01-02-2016,February,2016, 
338,Warangal (Rural),01-03-2016,March,2016, 
339,Warangal (Rural),01-04-2016,April,2016, 
340,Warangal (Rural),01-05-2016,May,2016, 
341,Warangal (Rural),01-06-2016,June,2016, 
342,Warangal (Rural),01-07-2016,July,2016, 
343,Warangal (Rural),01-08-2016,August,2016, 
344,Warangal (Rural),01-09-2016,September,2016, 
345,Warangal (Rural),01-10-2016,October,2016,8200
346,Warangal (Rural),01-11-2016,November,2016,6050
347,Warangal (Rural),01-12-2016,December,2016,5150
348,Warangal (Urban),01-01-2016,January,2016,1985815
349,Warangal (Urban),01-02-2016,February,2016,20703778
350,Warangal (Urban),01-03-2016,March,2016,568397
351,Warangal (Urban),01-04-2016,April,2016,317643
352,Warangal (Urban),01-05-2016,May,2016,373788
353,Warangal (Urban),01-06-2016,June,2016,365332
354,Warangal (Urban),01-07-2016,July,2016,340320
355,Warangal (Urban),01-08-2016,August,2016,368755
356,Warangal (Urban),01-09-2016,September,2016,379210
357,Warangal (Urban),01-10-2016,October,2016,128247
358,Warangal (Urban),01-11-2016,November,2016,129250
359,Warangal (Urban),01-12-2016,December,2016,127500
360,Yadadri Bhongir,01-01-2016,January,2016, 
361,Yadadri Bhongir,01-02-2016,February,2016, 
